Date;veic_lt;veic_ln;veic_li;veic_prod;veic_exp;auto_lt;auto_ln;auto_li;auto_prod;auto_exp;comlev_lt;comlev_ln;comlev_li;comlev_prod;comlev_exp;cam_lt;cam_ln;cam_li;cam_prod;cam_exp;on_lt;on_ln;on_li;on_prod;on_exp
abr/98;143968;111203;32765;137785;24861;116015;90789;25226;109120;16206;21519;14309;7210;20421;6754;4850;4535;315;5920;1372;1584;1570;14;2324;529
mai/98;154590;122401;32189;160231;26349;125563;101768;23795;127693;18150;22445;14412;8033;23444;6666;5132;4776;356;6671;1143;1450;1445;5;2423;390
jun/98;143617;115831;27786;146151;22386;116020;95621;20399;116874;15562;20994;13942;7052;20508;5310;5183;4848;335;6370;1086;1420;1420;0;2399;428
jul/98;114405;88429;25976;126825;22692;87046;69530;17516;98781;13975;20972;12687;8285;19235;7069;4890;4719;171;6550;1267;1497;1493;4;2259;381
ago/98;165523;132708;32815;134224;23142;138960;113086;25874;107464;15304;20180;13498;6682;18997;6284;4984;4893;91;5906;1147;1399;1231;168;1857;407
set/98;128466;100891;27575;134540;19455;106699;84501;22198;108305;12419;15213;10012;5201;18766;5171;4473;4399;74;5974;1369;2081;1979;102;1495;496
out/98;101326;79189;22137;92855;13686;83695;65888;17807;72752;8042;13145;9128;4017;13476;4137;3686;3412;274;5193;1237;800;761;39;1434;270
nov/98;100166;66445;33721;79643;15707;81149;53536;27613;61326;10404;14674;8862;5812;13034;3765;3561;3306;255;4281;1232;782;741;41;1002;306
dez/98;105195;72586;32609;59650;13411;86791;60203;26588;49710;9108;14549;8859;5690;7917;3104;3224;2909;315;1855;673;631;615;16;168;526
jan/99;93410;74995;18415;81902;8456;74490;60850;13640;66081;5226;13641;9070;4571;10049;2278;4055;3853;202;4463;642;1224;1222;2;1309;310
fev/99;43012;36539;6473;78103;9137;34661;29953;4708;61724;5208;4573;3077;1496;10850;2834;3164;2895;269;4234;753;614;614;0;1295;342
mar/99;143191;122669;20522;114873;14386;119472;104343;15129;91741;8634;18553;13556;4997;16403;4589;4270;3876;394;4862;788;896;894;2;1867;375
abr/99;125455;103394;22061;109148;14217;103590;85738;17852;90891;8985;16766;12905;3861;12994;4320;4134;3786;348;4165;669;965;965;0;1098;243
mai/99;115192;94954;20238;114047;20877;96600;80857;15743;95081;15129;13485;9378;4107;13149;4855;4224;3836;388;4752;562;883;883;0;1065;331
jun/99;107259;92537;14722;116990;16463;87816;77135;10681;95664;11332;13391;9792;3599;15113;4097;4886;4444;442;5107;695;1166;1166;0;1106;339
jul/99;113304;99045;14259;115312;17832;93983;83949;10034;95250;12993;14223;10240;3983;14576;4023;4074;3832;242;4437;573;1024;1024;0;1049;243
ago/99;122756;109891;12865;129287;22459;101148;92465;8683;106826;16155;15744;11825;3919;16300;5526;4876;4614;262;4735;578;988;987;1;1426;200
set/99;127084;111483;15601;130444;20586;105839;95077;10762;110369;15821;15744;11167;4577;13962;3868;4640;4378;262;4658;604;861;861;0;1455;293
out/99;92360;81456;10904;109990;18754;77009;69494;7515;89741;13160;10752;7565;3187;14427;4484;3866;3664;202;4689;691;733;733;0;1133;419
nov/99;87227;76568;10659;108670;20466;71775;64922;6853;88148;14403;10447;6985;3462;14065;4763;4376;4032;344;5485;1004;629;629;0;972;296
