id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50687989,Cute Studio (44m2) In the Heart of the old town,407409202,Lionel,,Commune de Genève,46.19863,6.15006,Entire home/apt,85,3,5,2021-12-06,3.85,1,112,5,
50693882,Chambre au calme avec vue sur jardin,32293700,Mathilde,,Confignon,46.17749,6.07967,Private room,54,2,0,,,1,161,0,
50715829,Nice room 15min away from city center and airport,7242959,Mamdouh,,Lancy,46.19532,6.11496,Private room,44,3,1,2021-08-09,0.21,1,10,1,
50718721,Appart_hotel Drake Longchamp 3* _3,349323361,Yannick,,Commune de Genève,46.2158,6.14884,Entire home/apt,130,1,11,2021-11-12,1.93,4,359,11,
50719002,Appart_hotel Drake Longchamp 3* _4,349323361,Yannick,,Commune de Genève,46.2165,6.14857,Entire home/apt,130,1,4,2021-11-18,0.71,4,359,4,
50742381,Studio au cœur de Genève. Studio in Geneva,269413661,Aude,,Commune de Genève,46.19895,6.1357,Entire home/apt,99,1,6,2021-12-19,1.06,1,54,6,
50759913,Central and Cute Appart with amazing view/balcony,12810976,Kayleigh,,Commune de Genève,46.1922,6.13853,Entire home/apt,63,25,0,,,1,27,0,
50786334,Lovely 3-bedroom duplex in central Geneva,26734271,Christine,,Commune de Genève,46.20526,6.16257,Entire home/apt,159,5,1,2021-07-18,0.19,1,8,1,
50802022,Appartement 3 pièces,410604598,Résidence,,Commune de Genève,46.221581,6.149194,Entire home/apt,320,7,1,2021-10-24,0.47,1,336,1,
50817612,Joli 3 pièces balcons calme centre,54934319,Sophie,,Commune de Genève,46.19161,6.1549,Entire home/apt,99,1,1,2021-11-03,0.56,1,0,1,
50823427,Genève Eaux-Vives appartement à 5 minutes du jet d'eau,98880961,Nadira,,Commune de Genève,46.20624,6.16212,Entire home/apt,85,7,0,,,1,0,0,
50828362,Au coeur du quartier de Saint Jean à 2 pas de Genève,408716263,Simon,,Commune de Genève,46.20461,6.126,Private room,90,1,0,,,1,0,0,
50835155,Villa Paradise with pool,403592314,Ylan,,Vandoeuvres,46.21765,6.19814,Entire home/apt,1250,7,0,,,1,365,0,
50837772,"one bed, light filled flat in the heart of GVA",2061720,Tommy,,Commune de Genève,46.20106,6.1374,Entire home/apt,169,4,3,2021-11-07,0.92,1,63,3,
50859072,Charming 1 bedroom apartment in Augustins,4008737,Hanna,,Commune de Genève,46.18896,6.1429,Entire home/apt,100,5,5,2021-10-28,0.87,1,88,5,
50863557,"Cosy Place, Genève",410962931,Fabien,,Commune de Genève,46.21247,6.14499,Entire home/apt,89,1,6,2021-12-09,1.84,1,350,6,
