Year,Beginning Stocks,Beet Sugar Production,Cane Sugar Production,Production,Raw Imports,Refined Imp.(Raw Val),Imports,Total Supply,Raw Exports,Refined Exp.(Raw Val),Exports,Human Dom. Consumption,Other Disappearance,Total Disappearance,Ending Stocks,Total Distribution
2012,260,0,"36,150","36,150",0,0,0,"36,410","19,350","5,300","24,650","11,500",0,"11,500",260,"36,410"
2013,260,0,"38,600","38,600",0,0,0,"38,860","21,750","5,900","27,650","11,200",0,"11,200",10,"38,860"
2014,10,0,"37,800","37,800",0,0,0,"37,810","21,050","5,150","26,200","11,260",0,"11,260",350,"37,810"
2015,350,0,"35,950","35,950",0,0,0,"36,300","18,900","5,050","23,950","11,400",0,"11,400",950,"36,300"
2016,950,0,"34,650","34,650",0,0,0,"35,600","19,750","4,600","24,350","10,500",0,"10,500",750,"35,600"
2017,750,0,"39,150","39,150",0,0,0,"39,900","22,800","5,700","28,500","10,550",0,"10,550",850,"39,900"
2018,850,0,"38,870","38,870",0,0,0,"39,720","22,560","5,640","28,200","10,600",0,"10,600",920,"39,720"
2019,920,0,"29,500","29,500",0,0,0,"30,420","15,680","3,920","19,600","10,600",0,"10,600",220,"30,420"
2020,220,0,"29,925","29,925",0,0,0,"30,145","17,030","2,250","19,280","10,650",0,"10,650",215,"30,145"
2021,215,0,"42,060","42,060",0,0,0,"42,275","25,616","6,404","32,020","10,020",0,"10,020",235,"42,275"
